         t              x              v
  0.000000      -0.052200       0.000000
  0.010000      -0.052147       0.010683
  0.020000      -0.051986       0.021341
  0.030000      -0.051720       0.031950
  0.040000      -0.051348       0.042486
  0.050000      -0.050871       0.052925
  0.060000      -0.050290       0.063242
  0.070000      -0.049606       0.073414
  0.080000      -0.048822       0.083418
  0.090000      -0.047938       0.093232
  0.100000      -0.046958       0.102834
  0.110000      -0.045883       0.112202
  0.120000      -0.044715       0.121316
  0.130000      -0.043457       0.130156
  0.140000      -0.042113       0.138702
  0.150000      -0.040684       0.146937
  0.160000      -0.039175       0.154844
  0.170000      -0.037588       0.162405
  0.180000      -0.035928       0.169605
  0.190000      -0.034198       0.176429
  0.200000      -0.032401       0.182865
  0.210000      -0.030542       0.188900
  0.220000      -0.028624       0.194522
  0.230000      -0.026653       0.199720
  0.240000      -0.024631       0.204487
  0.250000      -0.022564       0.208813
  0.260000      -0.020456       0.212691
  0.270000      -0.018312       0.216115
  0.280000      -0.016136       0.219080
  0.290000      -0.013932       0.221583
  0.300000      -0.011706       0.223621
  0.310000      -0.009461       0.225191
  0.320000      -0.007203       0.226293
  0.330000      -0.004937       0.226927
  0.340000      -0.002666       0.227095
  0.350000      -0.000396       0.226798
  0.360000       0.001868       0.226039
  0.370000       0.004123       0.224824
  0.380000       0.006363       0.223155
  0.390000       0.008584       0.221040
  0.400000       0.010782       0.218485
  0.410000       0.012953       0.215497
  0.420000       0.015091       0.212084
  0.430000       0.017193       0.208255
  0.440000       0.019255       0.204019
  0.450000       0.021272       0.199388
  0.460000       0.023241       0.194371
  0.470000       0.025158       0.188980
  0.480000       0.027020       0.183227
  0.490000       0.028822       0.177125
  0.500000       0.030561       0.170687
  0.510000       0.032234       0.163926
  0.520000       0.033838       0.156856
  0.530000       0.035370       0.149492
  0.540000       0.036827       0.141849
  0.550000       0.038206       0.133941
  0.560000       0.039505       0.125785
  0.570000       0.040721       0.117396
  0.580000       0.041853       0.108790
  0.590000       0.042897       0.099984
  0.600000       0.043852       0.090994
  0.610000       0.044716       0.081838
  0.620000       0.045488       0.072532
  0.630000       0.046166       0.063093
  0.640000       0.046749       0.053540
  0.650000       0.047237       0.043889
  0.660000       0.047627       0.034158
  0.670000       0.047919       0.024366
  0.680000       0.048114       0.014529
  0.690000       0.048210       0.004666
  0.700000       0.048207      -0.005205
  0.710000       0.048106      -0.015065
  0.720000       0.047906      -0.024890
  0.730000       0.047608      -0.034659
  0.740000       0.047213      -0.044348
  0.750000       0.046722      -0.053937
  0.760000       0.046135      -0.063403
  0.770000       0.045454      -0.072725
  0.780000       0.044681      -0.081882
  0.790000       0.043817      -0.090854
  0.800000       0.042865      -0.099622
  0.810000       0.041825      -0.108164
  0.820000       0.040702      -0.116464
  0.830000       0.039497      -0.124503
  0.840000       0.038213      -0.132264
  0.850000       0.036853      -0.139730
  0.860000       0.035419      -0.146886
  0.870000       0.033916      -0.153717
  0.880000       0.032346      -0.160209
  0.890000       0.030713      -0.166349
  0.900000       0.029020      -0.172125
  0.910000       0.027272      -0.177526
  0.920000       0.025471      -0.182542
  0.930000       0.023622      -0.187163
  0.940000       0.021729      -0.191381
  0.950000       0.019796      -0.195190
  0.960000       0.017827      -0.198582
  0.970000       0.015826      -0.201553
  0.980000       0.013797      -0.204099
  0.990000       0.011745      -0.206215
  1.000000       0.009674      -0.207899
  1.010000       0.007589      -0.209151
  1.020000       0.005493      -0.209970
  1.030000       0.003391      -0.210356
  1.040000       0.001287      -0.210311
  1.050000      -0.000814      -0.209836
  1.060000      -0.002908      -0.208935
  1.070000      -0.004991      -0.207612
  1.080000      -0.007059      -0.205872
  1.090000      -0.009107      -0.203719
  1.100000      -0.011132      -0.201161
